Date,Open,High,Low,Close,Volume
8/13/12,89.06,90,89.04,90,69707463
8/14/12,90.27,91.23,90.03,90.24,85041824
8/15/12,90.19,90.57,89.68,90.12,64377278
8/16/12,90.17,90.97,90.07,90.91,63694204
8/17/12,91.43,92.6,91.26,92.59,110689894
8/20/12,92.86,95.02,92.84,95.02,153345689
8/21/12,95.83,96.41,92.9,93.72,203176260
8/22/12,93.49,95.57,92.59,95.55,141330637
8/23/12,95.16,95.7,94.45,94.66,105029568
8/24/12,94.22,95.64,93.65,94.75,109334113
8/27/12,97.14,97.27,96.22,96.53,106728601
8/28/12,96.43,96.59,95.81,96.4,66844323
8/29/12,96.46,96.81,96.09,96.21,50701084
8/30/12,95.81,95.94,94.69,94.84,75672793
8/31/12,95.32,95.51,93.89,95.03,84579607
9/4/12,95.11,96.45,94.93,96.42,91972629
9/5/12,96.51,96.62,95.66,95.75,84090475
9/6/12,96.17,96.9,95.83,96.61,97845664
9/7/12,96.86,97.5,96.54,97.21,82416145
9/10/12,97.21,97.61,94.59,94.68,121998898
9/11/12,95.02,95.73,93.79,94.37,125984852
9/12/12,95.26,95.7,93.71,95.68,178054492
9/13/12,96.77,97.93,96.4,97.57,149589629
9/14/12,98.56,99.57,98.27,98.75,150118311
9/17/12,99.91,99.97,99.23,99.97,99507499
9/18/12,99.98,100.33,99.49,100.27,93375667
9/19/12,100.04,100.57,99.94,100.3,81715004
9/20/12,99.88,100.01,99.09,99.81,84141932
9/21/12,100.34,100.72,99.91,100.01,142897076
9/24/12,98.12,99.3,97.57,98.68,159936196
9/25/12,98.32,98.97,96.14,96.22,129690449
9/26/12,95.53,96.1,94.46,95.03,144175906
9/27/12,94.9,97.45,94.34,97.33,148522031
9/28/12,96.96,97.3,95.25,95.3,133777077
10/1/12,95.88,96.68,93.79,94.2,135895921
10/2/12,94.54,95.19,92.95,94.47,156997638
10/3/12,94.98,95.98,94.66,95.92,106069719
10/4/12,95.89,96.32,95.08,95.26,92688813
10/5/12,95.03,95.14,93.04,93.23,148501108
10/8/12,92.41,92.51,90.87,91.17,159494867
10/9/12,91.24,91.5,89.08,90.84,209648887
10/10/12,91.39,92.14,91,91.56,127588930
10/11/12,92.4,92.5,89.7,89.7,136520097
10/12/12,89.94,90.77,89.33,89.96,115003665
10/15/12,90.34,90.73,89.12,90.68,108124961
10/16/12,90.77,92.9,90.14,92.83,137442816
10/17/12,92.7,93.26,92,92.09,97327643
10/18/12,91.37,91.72,90,90.38,119155512
10/19/12,90.15,90.25,87.09,87.12,186021017
10/22/12,87.49,90.77,87.25,90.58,136682392
10/23/12,90.14,90.56,87.39,87.62,176786197
10/24/12,88.78,89.51,87.23,88.12,139631772
10/25/12,88.57,88.86,86.51,87.08,164081393
10/26/12,87.06,87.71,84.43,86.29,254605834
10/31/12,84.98,85.99,83.96,85.05,127500471
11/1/12,85.46,86.14,84.88,85.22,90361922
11/2/12,85.13,85.28,82.11,82.4,149843064
11/5/12,83.36,83.97,82.51,83.52,132321224
11/6/12,84.32,84.39,82.87,83.26,93729041
11/7/12,81.98,82.08,79.39,79.71,198412186
11/8/12,80.09,80.32,76.47,76.82,264036339
11/9/12,77.2,79.27,76.25,78.15,232476496
11/12/12,79.16,79.21,76.95,77.55,128950479
11/13/12,76.99,78.64,76.62,77.56,133302610
11/14/12,77.93,78.21,76.6,76.7,119291977
11/15/12,76.79,77.07,74.66,75.09,197477385
11/16/12,75.03,75.71,72.25,75.38,316722763
11/19/12,77.24,81.07,77.13,80.82,205792965
11/20/12,81.7,81.71,79.23,80.13,160687856
11/21/12,80.61,81.05,79.51,80.24,93306759
11/23/12,81.02,81.71,80.37,81.64,68206579
11/26/12,82.27,84.29,81.96,84.22,157644431
11/27/12,84.22,84.35,82.87,83.54,133328454
11/28/12,82.47,83.69,81.75,83.28,130264981
11/29/12,84.32,84.89,83.61,84.19,128674525
11/30/12,83.83,84.06,83.24,83.61,97824986
12/3/12,84.81,84.94,83.64,83.74,91069097
12/4/12,83.11,83.11,81.73,82.26,139482392
12/5/12,81.27,81.32,76.97,76.97,261159353
12/6/12,75.56,79.04,74.09,78.18,294301791
12/7/12,79.06,79.31,75.71,76.18,196941794
12/10/12,75,76.93,74.51,75.69,157620575
12/11/12,77.11,78.51,76.77,77.34,148085903
12/12/12,78.25,78.29,76.61,77,121783130
12/13/12,75.88,76.81,75.11,75.67,156314627
12/14/12,73.54,74.02,72.23,72.83,252394499
12/17/12,72.7,74.29,71.6,74.12,189736022
12/18/12,75,76.41,74.32,76.27,156417023
12/19/12,75.92,76.24,75.07,75.19,112340424
12/20/12,75.71,75.74,74.13,74.53,120421798
12/21/12,73.21,74.24,72.89,74.19,149129554
12/24/12,74.34,74.89,74.1,74.31,43936977
12/26/12,74.14,74.21,73.02,73.29,75609030
12/27/12,73.36,73.75,72.09,73.58,113779680
12/28/12,72.9,73.5,72.59,72.8,88569243
12/31/12,72.93,76.49,72.71,76.02,164872785
1/2/13,79.12,79.29,77.38,78.43,140124866
1/3/13,78.27,78.52,77.29,77.44,88240950
1/4/13,76.71,76.95,75.12,75.29,148581860
1/7/13,74.6,75.6,73.6,74.8,121038176
1/8/13,75.6,75.98,74.46,75.04,114676751
1/9/13,74.64,75,73.71,73.87,101899959
1/10/13,75.51,75.53,73.65,74.79,150285296
1/11/13,74.43,75.05,74.15,74.33,87688741
1/14/13,71.81,72.5,71.22,71.68,183544396
1/15/13,71.19,71.28,69.05,69.42,219192932
1/16/13,70.66,72.78,70.36,72.3,172700045
1/17/13,72.9,72.96,71.72,71.81,113412579
1/18/13,71.22,71.75,70.91,71.43,118287267
1/22/13,72.08,72.55,70.95,72.11,115386173
1/23/13,72.69,73.57,72.11,73.43,215375853
1/24/13,65.71,66.53,64.32,64.36,365212953
1/25/13,64.53,65.18,62.14,62.84,301993503
1/28/13,62.55,64.74,62.27,64.26,196378931
1/29/13,65.5,65.74,64.59,65.47,142768017
1/30/13,65.29,66.09,64.93,65.26,104288317
1/31/13,65.28,65.61,65,65.07,79833215
2/1/13,65.59,65.64,64.05,64.8,134867089
2/4/13,64.84,65.13,63.14,63.19,119278754
2/5/13,63.44,65.68,63.17,65.41,143336536
2/6/13,65.21,66.64,64.65,65.34,148426012
2/7/13,66.18,67.14,64.87,66.89,176145074
2/8/13,67.71,68.4,66.89,67.85,158288984
2/11/13,68.07,69.28,67.61,68.56,129358516
2/12/13,68.5,68.91,66.82,66.84,152262712
2/13/13,66.74,67.66,66.17,66.72,118801221
2/14/13,66.36,67.38,66.29,66.66,88876501
2/15/13,66.98,67.17,65.7,65.74,97981177
2/19/13,65.87,66.1,64.84,65.71,108944213
2/20/13,65.38,65.38,64.11,64.12,119074886
2/21/13,63.71,64.17,63.26,63.72,111795180
2/22/13,64.18,64.51,63.8,64.4,82663644
2/25/13,64.84,65.02,63.22,63.26,93144464
2/26/13,63.4,64.51,62.52,64.14,125374074
2/27/13,64.06,64.63,62.95,63.51,146836928
2/28/13,63.44,63.98,63.06,63.06,80628737
3/1/13,62.57,62.6,61.43,61.5,138111792
3/4/13,61.11,61.17,59.86,60.01,145684399
3/5/13,60.21,62.17,60.11,61.59,159607042
3/6/13,62.07,62.18,60.63,60.81,115062269
3/7/13,60.64,61.72,60.15,61.51,117117826
3/8/13,61.4,62.2,61.23,61.67,97898983
3/11/13,61.39,62.72,60.73,62.55,118558356
3/12/13,62.23,62.7,61.08,61.2,116477473
3/13/13,61.21,62.07,60.77,61.19,101454192
3/14/13,61.83,62.09,61.49,61.79,75968746
3/15/13,62.56,63.46,62.46,63.38,160989787
3/18/13,63.06,65.35,63.03,65.1,151549090
3/19/13,65.64,65.85,64.07,64.93,131693310
3/20/13,65.35,65.38,64.23,64.58,77165158
3/21/13,64.32,65.43,64.3,64.68,95813410
3/22/13,64.94,66.01,64.73,65.99,98776111
3/25/13,66.38,67.14,65.97,66.23,125283438
3/26/13,66.49,66.55,65.79,65.88,73573423
3/27/13,65.21,65.26,64.39,64.58,82852294
3/28/13,64.26,64.55,63.09,63.24,110745586
4/1/13,63.13,63.38,61.11,61.27,97432489
4/2/13,61.09,62.59,60.91,61.4,132443234
4/3/13,61.62,62.47,61.47,61.71,90803727
4/4/13,61.97,62.14,60.75,61.1,89664638
4/5/13,60.64,60.71,59.95,60.46,95923478
4/8/13,60.69,61.07,60.36,60.89,75264742
4/9/13,60.91,61.21,60.39,61,76688115
4/10/13,61.16,62.44,60.86,62.24,93981748
4/11/13,61.96,62.57,61.6,62.05,82154093
4/12/13,62.02,62.02,61.3,61.4,59681279
